OR+EP:,6
0,651.0,954.8,0,0
1,646.8,862.4,15,15
2,630.0,770.0,30,30
3,600.6,677.6,45,45
4,558.6,585.2,60,60
5,504.0,492.8,75,75
6,436.8,400.4,90,90
7,357.0,308.0,105,105
8,264.6,215.6,120,120
9,159.6,123.2,135,135
10,42.0,30.8,150,150
Orbital Ring:
0,629.3,954.8,0,0
1,627.2,862.4,15,15
2,612.5,770.0,30,30
3,585.2,677.6,45,45
4,545.3,585.2,60,60
5,492.8,492.8,75,75
6,427.7,400.4,90,90
7,350.0,308.0,105,105
8,259.7,215.6,120,120
9,156.8,123.2,135,135
10,41.3,30.8,150,150
Efficient Processors:
0,342.0,501.6,0,0
1,316.8,422.4,15,15
2,280.8,343.2,30,30
3,234.0,264.0,45,45
4,176.4,184.8,60,60
5,108.0,105.6,75,75
6,28.8,26.4,90,90
Base Production:
0,330.6,501.6,0,0
1,307.2,422.4,15,15
2,273.0,343.2,30,30
3,228.0,264.0,45,45
4,172.2,184.8,60,60
5,105.6,105.6,75,75
6,28.2,26.4,90,90
OR+EP:,7
0,714.0,1047.2,0,0
1,716.1,954.8,15,15
2,705.6,862.4,30,30
3,682.5,770.0,45,45
4,646.8,677.6,60,60
5,598.5,585.2,75,75
6,537.6,492.8,90,90
7,464.1,400.4,105,105
8,378.0,308.0,120,120
9,279.3,215.6,135,135
10,168.0,123.2,150,150
11,44.1,30.8,165,165
Orbital Ring:
0,690.2,1047.2,0,0
1,694.4,954.8,15,15
2,686.0,862.4,30,30
3,665.0,770.0,45,45
4,631.4,677.6,60,60
5,585.2,585.2,75,75
6,526.4,492.8,90,90
7,455.0,400.4,105,105
8,371.0,308.0,120,120
9,274.4,215.6,135,135
10,165.2,123.2,150,150
11,43.4,30.8,165,165
Efficient Processors:
0,396.0,580.8,0,0
1,376.2,501.6,15,15
2,345.6,422.4,30,30
3,304.2,343.2,45,45
4,252.0,264.0,60,60
5,189.0,184.8,75,75
6,115.2,105.6,90,90
7,30.6,26.4,105,105
Base Production:
0,382.8,580.8,0,0
1,364.8,501.6,15,15
2,336.0,422.4,30,30
3,296.4,343.2,45,45
4,246.0,264.0,60,60
5,184.8,184.8,75,75
6,112.8,105.6,90,90
7,30.0,26.4,105,105
OR+EP:,8
0,777.0,1139.6,0,0
1,785.4,1047.2,15,15
2,781.2,954.8,30,30
3,764.4,862.4,45,45
4,735.0,770.0,60,60
5,693.0,677.6,75,75
6,638.4,585.2,90,90
7,571.2,492.8,105,105
8,491.4,400.4,120,120
9,399.0,308.0,135,135
10,294.0,215.6,150,150
11,176.4,123.2,165,165
12,46.2,30.8,180,180
Orbital Ring:
0,751.1,1139.6,0,0
1,761.6,1047.2,15,15
2,759.5,954.8,30,30
3,744.8,862.4,45,45
4,717.5,770.0,60,60
5,677.6,677.6,75,75
6,625.1,585.2,90,90
7,560.0,492.8,105,105
8,482.3,400.4,120,120
9,392.0,308.0,135,135
10,289.1,215.6,150,150
11,173.6,123.2,165,165
12,45.5,30.8,180,180
Efficient Processors:
0,450.0,660.0,0,0
1,435.6,580.8,15,15
2,410.4,501.6,30,30
3,374.4,422.4,45,45
4,327.6,343.2,60,60
5,270.0,264.0,75,75
6,201.6,184.8,90,90
7,122.4,105.6,105,105
8,32.4,26.4,120,120
Base Production:
0,435.0,660.0,0,0
1,422.4,580.8,15,15
2,399.0,501.6,30,30
3,364.8,422.4,45,45
4,319.8,343.2,60,60
5,264.0,264.0,75,75
6,197.4,184.8,90,90
7,120.0,105.6,105,105
8,31.8,26.4,120,120
OR+EP:,9
0,840.0,1232.0,0,0
1,854.7,1139.6,15,15
2,856.8,1047.2,30,30
3,846.3,954.8,45,45
4,823.2,862.4,60,60
5,787.5,770.0,75,75
6,739.2,677.6,90,90
7,678.3,585.2,105,105
8,604.8,492.8,120,120
9,518.7,400.4,135,135
10,420.0,308.0,150,150
11,308.7,215.6,165,165
12,184.8,123.2,180,180
13,48.3,30.8,195,195
Orbital Ring:
0,812.0,1232.0,0,0
1,828.8,1139.6,15,15
2,833.0,1047.2,30,30
3,824.6,954.8,45,45
4,803.6,862.4,60,60
5,770.0,770.0,75,75
6,723.8,677.6,90,90
7,665.0,585.2,105,105
8,593.6,492.8,120,120
9,509.6,400.4,135,135
10,413.0,308.0,150,150
11,303.8,215.6,165,165
12,182.0,123.2,180,180
13,47.6,30.8,195,195
Efficient Processors:
0,504.0,739.2,0,0
1,495.0,660.0,15,15
2,475.2,580.8,30,30
3,444.6,501.6,45,45
4,403.2,422.4,60,60
5,351.0,343.2,75,75
6,288.0,264.0,90,90
7,214.2,184.8,105,105
8,129.6,105.6,120,120
9,34.2,26.4,135,135
Base Production:
0,487.2,739.2,0,0
1,480.0,660.0,15,15
2,462.0,580.8,30,30
3,433.2,501.6,45,45
4,393.6,422.4,60,60
5,343.2,343.2,75,75
6,282.0,264.0,90,90
7,210.0,184.8,105,105
8,127.2,105.6,120,120
9,33.6,26.4,135,135
OR+EP:,10
0,903.0,1324.4,0,0
1,924.0,1232.0,15,15
2,932.4,1139.6,30,30
3,928.2,1047.2,45,45
4,911.4,954.8,60,60
5,882.0,862.4,75,75
6,840.0,770.0,90,90
7,785.4,677.6,105,105
8,718.2,585.2,120,120
9,638.4,492.8,135,135
10,546.0,400.4,150,150
11,441.0,308.0,165,165
12,323.4,215.6,180,180
13,193.2,123.2,195,195
14,50.4,30.8,210,210
Orbital Ring:
0,872.9,1324.4,0,0
1,896.0,1232.0,15,15
2,906.5,1139.6,30,30
3,904.4,1047.2,45,45
4,889.7,954.8,60,60
5,862.4,862.4,75,75
6,822.5,770.0,90,90
7,770.0,677.6,105,105
8,704.9,585.2,120,120
9,627.2,492.8,135,135
10,536.9,400.4,150,150
11,434.0,308.0,165,165
12,318.5,215.6,180,180
13,190.4,123.2,195,195
14,49.7,30.8,210,210
Efficient Processors:
0,558.0,818.4,0,0
1,554.4,739.2,15,15
2,540.0,660.0,30,30
3,514.8,580.8,45,45
4,478.8,501.6,60,60
5,432.0,422.4,75,75
6,374.4,343.2,90,90
7,306.0,264.0,105,105
8,226.8,184.8,120,120
9,136.8,105.6,135,135
10,36.0,26.4,150,150
Base Production:
0,539.4,818.4,0,0
1,537.6,739.2,15,15
2,525.0,660.0,30,30
3,501.6,580.8,45,45
4,467.4,501.6,60,60
5,422.4,422.4,75,75
6,366.6,343.2,90,90
7,300.0,264.0,105,105
8,222.6,184.8,120,120
9,134.4,105.6,135,135
10,35.4,26.4,150,150
OR+EP:,11
0,966.0,1416.8,0,0
1,993.3,1324.4,15,15
2,1008.0,1232.0,30,30
3,1010.1,1139.6,45,45
4,999.6,1047.2,60,60
5,976.5,954.8,75,75
6,940.8,862.4,90,90
7,892.5,770.0,105,105
8,831.6,677.6,120,120
9,758.1,585.2,135,135
10,672.0,492.8,150,150
11,573.3,400.4,165,165
12,462.0,308.0,180,180
13,338.1,215.6,195,195
14,201.6,123.2,210,210
15,52.5,30.8,225,225
Orbital Ring:
0,933.8,1416.8,0,0
1,963.2,1324.4,15,15
2,980.0,1232.0,30,30
3,984.2,1139.6,45,45
4,975.8,1047.2,60,60
5,954.8,954.8,75,75
6,921.2,862.4,90,90
7,875.0,770.0,105,105
8,816.2,677.6,120,120
9,744.8,585.2,135,135
10,660.8,492.8,150,150
11,564.2,400.4,165,165
12,455.0,308.0,180,180
13,333.2,215.6,195,195
14,198.8,123.2,210,210
15,51.8,30.8,225,225
Efficient Processors:
0,612.0,897.6,0,0
1,613.8,818.4,15,15
2,604.8,739.2,30,30
3,585.0,660.0,45,45
4,554.4,580.8,60,60
5,513.0,501.6,75,75
6,460.8,422.4,90,90
